Internship Opportunity,Discipline,Description,2024 Deadline,Application Link,Requirements,Stipend or Rate,Travel / Lodging / Meal Support,Notes,# of Students Placed from Skyline,Skyline College student placed,Contact Information,"COVID-Considerations (online, no longer offered because of covid)"
The New Technologists,Computer Science,Join our 7-week innovation academy. You’ll learn all about the product lifecycle and create a prototype solution for the modern customer. What’s the product life cycle? What’s prototyping? Don’t worry…we’ll teach you!,TBD,https://www.newtechnologists.com/,"Must be a current college freshman or sophomore; Completed college level Intro to Computer Science (or equivalent)​; Completed college level Pre-Calculus (or equivalent) ​
Available to work remotely for the entire program; Must obtain authorization to work in the U.S. and a social security number by the time of hire; Must be at least 18 years old by June 2021","$8,000",,,,,,
California Academy of Sciences- Summer Systematics Internships,Multiple,SSI is a nine-week paid research internship at our state-of-the-art research facility and museum in San Francisco’s Golden Gate Park. This world-renowned venue continues to offer undergraduates important insights into the contributions that museum-based research can make to issues facing society today. The program accommodates up to 10 undergraduate students. This internship is made possible by the National Science Foundation and a generous gift from the Robert T. Wallace Endowment for undergraduate research experiences,"Feb 1st, 2024",http://www.calacademy.org/summer-systematics-institute,"Any U.S. citizen or resident alien (green card) who is an undergraduate student, and who will not have graduated before fall of 2020, is welcome to apply. That is, you must be enrolled in an undergraduate program at the time of the internship. We encourage applications from groups under-represented in the sciences. An excellent academic record and participation in a wide range of campus activities are highly regarded, but not the sole criteria for the selection proces","$5,400","Travel to and from San Francisco will be provided. Housing will be provided in dormitories in San Francisco (within walking distance and easy public transportation to the Academy), with details to be provided upon the selection of interns. Personal stipends may be subject to federal and/or state income taxe",,,,,
Summer Research at Georgia Tech,Multiple,"You'll participate in research with one or more of our faculty, learn about careers in science and engineering, and see how scientists blend knowledge and skills from physics, chemistry and biology to investigate some of the most challenging problems in environmental sciences. We encourage applications from undergraduate students who are citizens or permanent residents of the U.S., especially attending universities other than Georgia Tech","Varying Deadlines (Multiple) Feb 1st, 2024",https://undergradresearch.gatech.edu/summer-research,,"$7,000",Housing provided and contributed travel,,,,,
Math Undergrad Research Program (MSRI-UP) at UC Berkeley,Mathematics,"The MSRI Undergraduate Program (MSRI-UP) is a comprehensive summer program designed for undergraduate students who have completed two years of university-level mathematics courses and would like to conduct research in the mathematical sciences. Due to funding restrictions, only U.S. citizens and permanent residents are eligible to apply and the program cannot accept foreign students regardless of funding.",TBD,https://www.msri.org/web/msri/education/for-undergraduates/msri-up,US Citizen,"$3,600","Lodging, meals and roundtrip travel to Berkeley, CA.",,,,,
Chemistry Summer Research @ USC,Chemistry,"Spend 10 weeks of your summer carrying out research in residence in our Chemistry Department. We use the term ""Snapshots of Chemistry"" to emphasize our focus on gaining insights on key chemical features of molecular processes via visual images. Research projects will cover a broad range of topics, spanning from femtosecond time-resolved observations of transient events to synthesis of novel drugs, development of nanostructures and catalysis in energy research, biochemical and structural investigations of proteins and nucleic acids, and theoretical investigations using advanced algorithm and state-of-the-art computer graphics and multimedia capabilities",TBD,http://chem.usc.edu/undergraduate/summer_prog.html,The program targets juniors although applications from sophomores will also be considered. Women and underrepresented minorities are encouraged to apply.,$500/week,"Housing, travel and health insurance will also be covered",,,,,
Summer Institute in Biostatistics and Data Science (SIBDS) 2023,"Biostatistics
Data Science","Calling all undergraduate or early graduate students, it’s time to discover how data can change your life through Florida’s Summer Institute in Biostatistics and Data Science Program (SIBDS).

This opportunity is the key to understanding how data, driven by participants’ responses, can help draw conclusions on everything from why COVID-19 impacts certain populations more than others, to why clinical trials are important and a whole lot more.","April 13th, 2023",https://www.fau.edu/research-admin/cores/biostatistics-core/fl-summer-institute-biostatistics-data-science-program-2023/,"Some statistics, math, technology, biology and/or health science coursework
","Stipends included, but not listed",Housing provided at FAU’s Boca Raton campus,,,,,
Ocean research @ Bigelow Laboratory's Summer REU Program,Multiple,"Undergraduates in Bigelow Laboratory's summer REU Program spend ten weeks at the Laboratory conducting independent research with guidance from a scientist mentor. Directed by Senior Research Scientist Dr. David Fields, and funded by the National Science Foundation, the REU Program is designed to give students pursuing degrees in the sciences, mathematics and engineering a laboratory-based research experience with an emphasis on hands-on, state-of-the-art methods and technologies. REU students are immersed in the Bigelow community and participate in seminars, field trips, Laboratory outreach programs, social events, and more.",Feb 15,https://www.bigelow.org//education/reu/,,"$5,000",,,,,,
MATE -At-Sea Marine Advanced Technology,focus on Marine Technology - ALL STEM majors,"To help prepare students to be competitive and prepared for employment upon graduation, the MATE Center has developed the At-Sea Technical Internship Program. Interns work as marine technicians aboard sea-going research vessels that are part of the University National Oceanographic Laboratory System (UNOLS), the United States Coast Guard, and the Ocean Exploration Trust.",Jan 22,http://www.marinetech.org/internships/,"At least 18 years of age.
A current undergraduate student or very recently graduated from an undergraduate program from a US institution and a citizen of the United States ble to enroll in a for-credit cooperative work experience course.",$500/week,"All intern travel to and from the ship is covered by the MATE Center, and the intern lives and is fed aboard the vessel for the duration of the internship.",,,,,
Entry Point!,STEM fields/Some Business,"Entry Point!, a signature program of the AAAs Project on Science, Technology and Disability, is a national effort to discover and develop talent among undergraduate and graduate students with disabilities who demonstrate a talent and interest in pursuing a STEM career. 10-week summer internships. Entry point! Recruits and places 20 to 25 problem solvers each year.","Feb 19th, 2024",https://www.aaas.org/programs/entry-point/apply,-Enrollment as a full-time undergraduate or graduate student for the academic term before and after the desired internship. -Must have a disability – apparent or non-apparent. -Must have a grade point average of 3.0 (B) or better. -Must be a U.S. citizen (will be verified by employer).,,,,,,,
Sustainable Materials Research @ UC Santa Cruz,Multiple,"Research in areas of physics, chemistry, and engineering related to the discovery and study of materials that can be used in future sustainable technologies such as low power electronic devices, renewable energy sources, and biomimetic devices","Feb 24th, 2023",https://reu-materials-ucsc.weebly.com,"You must have completed one year of college in an institution of higher education in the United States. ou must expect to be enrolled as a sophomore, junior, or senior as of the Fall 2020 term at a post-secondary college or university institution in the United States. Students currently attending two- and four-year post-secondary, non-PhD-granting institutions are especially encouraged to apply.U.S. citizen or permanent resident.","$5,400",Free housing and meals at UCSC,,,,,
Stanford Engineering - Power Optimization of Electro-Thermal Systems (POETS),Engineering,"The POETS REU program places students at one of its four universities: Howard University, Stanford University, University of Arkansas, and University of Illinois. While at a POETS institution, REU students work on a POETS research project under the guidance and mentorship of a faculty member and graduate student or post-doctoral mentor. In addition to research, students will participate in bi-weekly research seminars and professional development workshops, engage in a variety of social and professional events and communicate their research progress at multiple venues including POETS’ annual meeting in September. The goal of POETS REU program is to provide a unique summer experience that encourages students to pursue graduate studies in engineering.",TBD,https://poets-erc.org/reu,"Must be a current undergraduate student during the summer of 2020. Students with an average GPA of 3.0/4.0 or higher. U.S. citizenship/national or permanent residency is required. Students from underrepresented minority groups, women, persons with disabilities and veterans are strongly encouraged to apply","$5,000",On-campus housing and meal plan provided at all campus except if placed at Stanford. Airfare to and from POETS institution.,,,,,
HACU National Internship Program (HNIP) @ Various Locations - Summer Session,Multiple,"Whether you are a student looking for an internship or a federal agency or corporation looking for an intern, we feel confident that we can help you in your pursuit. We are always in search of the best and the brightest to fill our many internship opportunities. We are also looking to partner with government and corporate sector organizations interested in developing the next generation of dedicated public servants and business leaders",Feb 28,https://www.hacu.net/hacu/HNIP.asp,Minimum 3.0 GPA. Enrollment in a degree-seeking program at an accredited institution. Authorization or eligibility to work in the United States by law,,Round-trip airfare to/from internship location is provided for non-local students. Assistance to locate and secure housing during the internship for non-local students,,,,,
Merced Nanomaterials Center for Energy and Sensing (MACES),Multiple,"MACES sponsors a thriving program geared toward the education and training of undergraduate research fellows. This program includes research training in the labs of the MACES faculty by providing an oppertunity to work on a MACES-related project, and a series of professional development monthly workshops. The topics covered in the workshops include introducing the participants to tools for thorough literature searches, writing abstracts for conferences, writing professional resumes, and preparing and presenting talks. MACES undergraduate fellows have the opportunity to participate in various MACES events, including events with direct connection to NASA.",Not available,http://maces.ucmerced.edu/undergraduates/,Full-time undergraduate students with at least two semesters of college experience (GPA 3.0 or above); US citizen or permanent resident,"$3,000",,,,,,
ASSURE REU Program,Multiple,"A paid internship at UC Berkeley's Space Sciences Lab. Recruiting community college and other undergraduate students
majoring in physics, chemistry, earth science, astronomy, computer
science and all engineering subjects.",TBD,http://multiverse.ssl.berkeley.edu/assure,"Applicants must be currently enrolled in a degree program leading to a baccalaureate or associate degree, and must also be enrolled in classes for Fall 2021. Students who are transferring from one college or university to another and are enrolled at neither institution during the intervening summer may participate. Participants must be U.S. citizens, U.S. nationals, or permanent residents of the United States.",,,First generation students and those with identities historically underrepresented in the sciences are strongly encouraged to apply,,,assure@berkeley.edu,
Earthquake Information Technology @ Univ of Southern California (USC),Multiple,"work on technical tools for scientists, educators and policy makers about earthquakes, faults and risk reduction",TBD,https://www.scec.org/internships/apply,,,,,,,,
Stanford Summer Community College Pre-Med Program (Stanford School of Medicine),Medicine,"The Stanford Summer Community College Premedical Program (SSCCPP) targets current community college students considered low-income and/or underrepresented in medicine providing exposure to medicine and health through topics in health disparities, leadership challenges in health provision and administration, science success strategies, professional development, clinical exposure, successful preparation for the medical school application process, postsecondary and graduate/professional school financing.","March 1st, 2024",https://med.stanford.edu/odme/pre-med-students/summer-pre-med-programs.html,"demonstrate academic or economic barriers in pursuit of their postsecondary education, as described in the application, in order to meet eligibility.
provide identity documentation at the request of the program (AB540, DACA and undocumented students will be considered on a limited basis with appropriate documentation)
be in good academic standing at their college (typically a 2.0 GPA)
be a community college student at the time of application 
not be in post-baccalaureate status having received a degree in the US or other country in any field",,,,,,,
Prep Medico: UC Davis,Medical,"Shadow health professionals at UC Davis Medical Center and Kaiser facilities. Examine Latinx health disparities and the social determinants of health. Participate in medical stimulation labs. Understand their personal leadership style and develop new skills. Receive structured academic advising and mentoring. Scholars may be eligible for a stipend upon successful completion of the program
","March 1st, 2023",https://health.ucdavis.edu/diversity-inclusion/prep_medico/prep-medico-resources.html,"First- or second-year college student (or community college)
Resident of the Central Valley or Northern California
Completion of English Composition AND one semester/quarter of General Chemistry OR General Biology 
GPA of 2.85 or higher
Demonstrated interest in becoming a physician and serving Latinx communities
Proof of all required immunizations",,"The Prep Médico program does its best to cover housing and transportation to and from the dorms to the UC Davis Medical Center for all accepted students. Any additional expenses such as laundry, meals and weekend excursions will be the responsibility of the student",,,,,
"Complexity Across Disciplines - Math REU @ Boise, Idaho",Multiple,"In this nine week summer program undergraduate students experience independent research in combinatorics, number theory, algebra, and game theory motivated by applications to search optimization, information security, or genome biology. The program aims to immerse participants of diverse backgrounds in all facets of research in mathematics, and in applications to information security or the life sciences in a culture of close and daily collaboration with faculty.",Not available,https://math.boisestate.edu/reu/index.htm,"National Science Foundation supported participants must be citizens or permanent residents of the US or its possessions. Women and minorities (African American, Native American, Alaskan Native, Hispanic, and Native Pacific Islanders) are especially encouraged to apply. A participant must not yet have graduated with an undergraduate degree at the time of the REU","$4,000",free on campus housing and an allowance for meals.,,,,,
IQ Bio REU in Puerto Rico,Multiple,"For 9 weeks, starting on the first Monday of June, ten (10) students will be immersed in a wide array of high-impact practices including participation in a mentored research project in partnership with faculty members from the College of Natural Sciences at the University of Puerto Rico-Rio Piedras Campus (UPR-RP). The program offers training and practice for fluency in computational and quantitative skills, data analysis, and bioinformatics and myriad opportunities for career development.",TBD,http://iqbioreu.uprrp.edu/index.php/apply/,"U.S. citizen, national or permanent resident. (Priority will be given to students from universities and colleges that lack a strong research component and those from groups that have been historically underrepresented in STEM fields)
Rising sophomores, juniors or seniors enrolled in 2 and 4-year colleges or universities.
Major in a Science, Technology, Engineering, and Mathematics (STEM) field.
Demonstrated interest in pursuing a career in emerging fields at the intersection of biology with other scientific disciplines that incorporate quantitative analysis.","$5,400","Near-campus housing arranged by the program
Reimbursement for travel to and from REU site",,,,,
Women Coders Open Source Software in May,Coding,"Interns work with experienced mentors from open source communities. Outreachy internship projects may include programming, user experience, documentation, illustration, graphical design, data science, project marketing, user advocacy, or community event planning. Interns often find employment after their internship with Outreachy sponsors or in jobs that use the skills they learned during their internship",early Feb,https://www.outreachy.org,"We expressly invite women (both cis and trans), trans men, and genderqueer people to apply. We also expressly invite applications from residents and nationals of the United States of any gender who are Black/African American, Hispanic/Latin@, Native American/American Indian, Alaska Native, Native Hawaiian, or Pacific Islander. Anyone who faces under-representation, systemic bias, or discrimination in the technology industry of their country is invited to apply.","$5,500",$500 USD travel stipend to attend conferences or events.,,,,,
NASA Summer Internship Program,Multiple,NASA Office of STEM Engagement (OSTEM) paid internships allow high school and college-level students to contribute to agency projects under the guidance of a NASA mentor. The summer session will begin June 6.,"Feb 2nd, 2024",https://intern.nasa.gov/,,,,,,,,
SEEDS SPUR Fellowship Positions,Ecology,"Colorado: REU in Plant Invasions & Global Change (Syracuse University)
New York: E4@SU Summer REU (Syracuse University)
Michigan: REU in Ecological and Evolutionary Dynamics (W.K. Kellogg Biological Station)
New Hampshire: REU at the Hubbard Brook Experimental Forest (Hubbard Brook Research Foundation)",July 7th,https://esa-seeds.secure-platform.com/a,Students from underrepresented minority groups are strongly encouraged to apply.,No stipend,All Expenses Paid,,,,,
Boston University Photonics Center,Multiple,"Provides undergraduates (freshman to seniors) and novice (community college) students majoring in or with an interest in Mechanical, Biomedical, Electrical & Computer, and Materials Science Engineering with an opportunity to actively participate in cutting-edge summer research projects.",Not available,https://www.bu.edu/photonics-reu/2020/12/22/nsf-reu-inm-site-application-for-summer-2021-is-now-open/,,"$5,000 stipend",Free on-campus housing provided,,,,,
Integrating Research in Sustainable Energy & the Environment across STEM Disciplines (IR-SEED),"Community College focus, ALL STEM majors","Get involved in research focused on electric vehicles, biomechanics, sustainable energy, energy management and water management. US Citizen/Resident, 3.0 GPA.",TBD,https://www.tamuk.edu/engineering/institutes-research/ir-seed-reu/index.html,,"$5,000 stipend","free housing & meals, travel costs covered",,,,,
Scripps Undergrad Research Fellowship (SURF) at UCSD,Earth and ocean sciences,"The Scripps Undergraduate Research Fellowship (SURF) is a 10-week summer Research Experience for Undergraduates (REU) designed to engage students in diverse and exciting earth, ocean and atmospheric sciences research at a world-renowned institution.","April 21st, 2023",https://scripps.ucsd.edu/undergrad/surf,"Full-time undergrad students, graduating in Fall 2021 or after, must be U.S. Citizen or permanent resident",$6000 stipend,on-campus housing and travel provided,"In particular, the SURF program seeks to increase the diversity of students and to recruit individuals from institutions with limited undergraduate research opportunities.",,,,
Biomed Summer Multicultural Advanced Research Training (SMART) Program,Health Sciences,"SMART is a program for multicultural students made possible in part by the National Institutes of Health and the National Heart, Lung and Blood Institute. The NIH has designated African Americans, Native Americans, Mexican Americans and Mainland Puerto Ricans as underrepresented populations in the sciences. However, through additional funding provided by our corporate partners, UNT Health Science Center invites applications from all interested students.",TBD,https://www.unthsc.edu/academic-affairs/center-for-diversity-and-international-programs/summer-research-internships/summer-multicultural-advancement-research-training/,"Students completing freshman year and sophomore students
3.0 minimum cumulative grade point average
U. S. Citizen or permanent residency
Major in biology, biochemistry, chemistry or other life science
Intention of pursuing education beyond the bachelor’s level",4000 (minus taxes),,,,,,
Biology Research - Oklahoma and Greece,Multiple,Students participate in an eight-week summer program sponsored by the University of Central Oklahoma and funded by the National Science Foundation. The first week considers aspects of the scientific process and experimental design before spending up to seven weeks on the island of Lesvos (Greece). We study aspects of the foraging ecology of solitary bees and honey bees in their native regions of the world. Many of these species (including the honey bee) are invasive in the U.S. but also have positive impacts on U.S. agriculture.,"Mar 17th, 2023",https://www.uco.edu/cms/reu/,"Please submit the following: 1) The application form with essay, 2) two letters of reference, and 3) transcripts (copies are fine)",,"Travel, housing and meals will be covered for participants.",,,,,
Integrating Research in Sustainable Energy & the Environment across STEM Disciplines (IR-SEED),Multiple,"Get involved in research focused on electric vehicles, biomechanics, sustainable energy, energy management and water management.",TBD,https://www.tamuk.edu/engineering/institutes-research/ir-seed-reu/index.html,"US Citizen/Resident, 3.0 GPA","$5,000","free housing & meals, travel costs covered",,,,,
Stanford Canary Cancer Research Education Summer Training (CREST) Program,Health Sciences,"The Canary Center at Stanford is a world-class research center dedicated to early cancer detection. To train the next generation of interdisciplinary scientists, we offer a unique summer research training opportunity for undergraduate students, namely, the Canary Cancer Research Education Summer Training (CREST) Program. Funded by the National Cancer Institute (NCI), the program offers a 10-week research experience in one of our state-of-the art labs. Each participant will be matched with a Faculty mentor who will help them craft a research project.","Feb 6th, 2023",https://canarycenter.stanford.edu/canarycrest.html,"Students must be undergraduate students enrolled in two- or four-year colleges or universities 
Students are expected to work at least 8 hours per day, 5 days per week in the lab for the duration of the 10-week period 
Students are expected to attend all program activities, including orientation, seminars, and the poster symposium 
Students must be U.S. citizens/permanent residents or currently enrolled Stanford University Undergraduates 
Housing and travel assistance are available ","$4,000","The Canary Center will provide some financial support (minimum of $1,000) for housing.","Candidate’s academic work (e.g., GPA, courses, course-associated laboratories, prior research experience, computer skills) 
A current transcript 
An essay that describes an applicant’s interest for participating in this program (max. 5,000 characters) 
A 1-2 page resume 
Names and contact information of individuals who can provide a letter of recommendation (Note: Letters are NOT required at the time of submission of the application).  ",,,canarycrest@stanford.edu.,"hoping to return to a in-person program for summer 2021. Final decisions will be made closer to the start of the program, in accordance with campus and county guidelines."
Dept of Energy - MEISPP Internships,Multiple,Undergraduate/Graduate students gain 10 weeks and High School students gain 8 weeks of substantive professional and technical career experience while working side-by-side with an assigned mentor who is a subject matter expert in the U.S. Department of Energy. Mentors will help students tailor their practical work experience to the larger context of their professional interests.,TBD,https://www.energy.gov/diversity/minority-educational-institution-student-partnership-program-meispp-internships,Be at least 18 years of ageHave earned at least 24 undergraduate semester hours (39 quarter credit hours)MUST BE ENROLLED as a full time student. Recent graduates are not eligible to participate in the program unless they are enrolled in a graduate. programMUST BE a US CitizenMaintain an overall GPA of 3.0 (minimum) or above on a 4.0 scale,TBD,"For in-person internships, round trip airfare and student’s stipends are included.",,,,,
INROADS,Multiple,"As an INROADS intern, you’ll have access to our dedicated team of trainers, mentors, and recruiters, all of whom are here to connect you with your greatest goals for success. 82% of our graduating college seniors accept a job with their sponsoring company, and they’re already moving up the payscale when they sign that first offer",TBD,https://inroads.org/apply/,GPA of at least a 3.0,paid internships may vary,,,,,,
Summer 2023 AGLS REU program at Texas A&M University,Multiple,"The Research Experiences for Undergraduates (REU) program is a summer program hosted by universities across the nation to enhance undergraduate participation in research. For 10 weeks, REU students participate in real-world scientific investigations under the guidance of a faculty mentor and receive both a stipend and housing for the duration of the program. Undergraduate research training is indispensable and helps students develop research and professional skills to facilitate advancement to graduate school. 

","Feb 15th, 2023",https://aglifesciences.tamu.edu/research-experiences-for-undergraduates/,"1. Online application 
2. References from two people who can assess your ability to participate in a research experience
3. College/University transcript current as of the start of the spring 2023 term 
4. Resume",TBD,,,,,bryk@tamu.edu,
UCLA Public Health Scholars Training Program,Public Health,"The UCLA Public Health Scholars Training Program provides undergraduate students the opportunity to explore the field of public health through hands-on training, structured workshops, group excursions, and leadership and professional development. Located in Los Angeles, the program offers scholars the opportunity to train at UCLA, to explore public health in one of the most diverse counties in the US, and to experience the city’s vibrant culture. We work with community-based organizations, health systems, and government agencies to offer field placement opportunities for scholars that focus on health equity.","Mar 31st, 2023",https://grad.ucla.edu/admissions/diversity/summer-programs-for-undergraduate-research-spur/,"By the start of the program,be enrolled in a four-year institution (community college transfers eligible) and have completed at least two years of undergraduate education
OR graduated Spring term 2020 or after and have not officially enrolled in a graduate program.
Ability to be present in LA and participate in program activities from June to August ",,,,,,phscholars@ph.ucla.edu,
UCLA Community College Scholars,Multiple,1-week summer experiences at UCLA plus one-day workshops during the year -- for community college students (open to all immigration status),TBD,https://www.aap.ucla.edu/units/cccp/,"GPA: 3.0+, UNITS: 30+ transferable units, English Composition completed, Complete transferable Math by Spring 2021, Additional fourth essay, and Transferring Fall 2022",,,,,,,
CVI Stanford Summer Research Program,Health Sciences,"Our 10-week Stanford Cardiovascular Institute Summer Research Program is designed to provide meaningful research experiences to a diverse cohort of undergraduate and medical students from across the country in the field of cardiovascular science. Our long-term goal is to bolster a diverse pool of scientists and physician-scientists, and expose them to the landscape of 21st century translational research and medicine. One of the primary goals of our program is to increase diversity in cardiovascular research and medicine.
The Carvunis lab studies the molecular mechanisms of change and innovation in evolution. This  involves thinking about how genomes change over time, what cellular processes enable these  changes, and how novel molecular networks emerge. We consider evolution in the light of  systems biology and systems biology in the light of evolution, to gain a better understanding of  how cells and organisms live and evolve. The research tools we rely on the most are  
bioinformatics, yeast genetics and genomics. 
","Jan 31st, 2023",https://med.stanford.edu/cvi/education/cvi-summer-research-program.html,"U.S. citizens, permanent residents, DACA recipients, or foreign nationals holding a student, exchange, or permanent resident visa, including an F-1, H1, H1B, J1, PR, TC, or TN visa are eligible for our program. Students who are foreign nationals or DACA recipients are only eligible if they are entering at least their third year of undergraduate study following the program end. Individuals graduating from an undergraduate degree program in Spring/Summer prior to the program start are also eligible.","$7,000","Students may receive approximately $1000 additional support for travel and accommodation, but these funds are not guaranteed.",,,,,
NASA – Community College Aerospace Scholars (NCAS),Multiple,"commit to a one-semester relationship with NASA Johnson Space Center (JSC), including on-line projects followed by a 3 day experience during the spring semester held at a NASA center","Dec 9th, 2022",https://nas.okstate.edu/ncas/,"U.S. citizenship, High school graduate or equivalent and at least 18 years of age, Registered at a U.S. community college during the semester of the onsite workshop, Concurrent enrollment or completion of 9+ hours of STEM coursework, Able to commit to a 5 week online session, and have internet access
",,,,,,,
Hugh Edmondson Research Internship @ UC Davis Med School,Health Sciences,The Hugh Edmondson Summer Research Internship Program provides a unique research opportunity for motivated undergraduate college students who have demonstrated a strong interest in research in the health sciences. The internship program offers research opportunities under the supervision and mentorship of pathology faculty in various pathology laboratories located at the UC Davis campus or at the medical center/health sciences campus in Sacramento.,"Feb 28th, 2023",https://health.ucdavis.edu/pathology/education/edmondson_research_fellowship/Application.html,"The Edmondson Summer Internship Program is open to undergraduate college students. The students must demonstrate a strong interest and motivation in research or a career in the health sciences such as clinical laboratory scientist, cytotechnologist, biomedical scientist, physician, or physician-scientist. The selection of students is based on their statement of interest, academic performance (GPA > 2.85), recommendation letters, and interview","$2,000",,,,,,
"Department of Energy – Community College Internships (CCI)
Fall Session",Many,The CCI program seeks to encourage community college students to enter technical careers relevant to the DOE mission by providing technical training experiences at the DOE laboratories,"Summer 24' - Jan 9th, 2024",https://science.osti.gov/wdts/cci/,,,,,,,,
